,city_name,date,temperature
442,San Francisco,2022-04-25 10:00,59.3
443,San Francisco,2022-04-25 11:00,61.6
444,San Francisco,2022-04-25 12:00,63.9
445,San Francisco,2022-04-25 13:00,63.9
446,San Francisco,2022-04-25 14:00,63.9
447,San Francisco,2022-04-25 15:00,63.9
448,San Francisco,2022-04-25 16:00,63.3
449,San Francisco,2022-04-25 17:00,62.7
450,San Francisco,2022-04-25 18:00,62.1
451,San Francisco,2022-04-25 19:00,58.8
452,San Francisco,2022-04-25 20:00,55.6
453,San Francisco,2022-04-25 21:00,52.3
454,San Francisco,2022-04-25 22:00,51.7
455,San Francisco,2022-04-25 23:00,51.0
456,San Francisco,2022-04-26 00:00,50.4
457,San Francisco,2022-04-26 01:00,49.9
458,San Francisco,2022-04-26 02:00,49.4
459,San Francisco,2022-04-26 03:00,48.9
460,San Francisco,2022-04-26 04:00,49.2
461,San Francisco,2022-04-26 05:00,49.4
462,San Francisco,2022-04-26 06:00,49.6
463,San Francisco,2022-04-26 07:00,50.1
464,San Francisco,2022-04-26 08:00,50.6
465,San Francisco,2022-04-26 09:00,51.1
466,San Francisco,2022-04-26 10:00,54.2
467,San Francisco,2022-04-26 11:00,57.3
468,San Francisco,2022-04-26 12:00,60.4
469,San Francisco,2022-04-26 13:00,62.2
470,San Francisco,2022-04-26 14:00,63.9
471,San Francisco,2022-04-26 15:00,65.7
472,San Francisco,2022-04-26 16:00,64.9
473,San Francisco,2022-04-26 17:00,64.2
474,San Francisco,2022-04-26 18:00,63.5
475,San Francisco,2022-04-26 19:00,59.1
476,San Francisco,2022-04-26 20:00,54.6
477,San Francisco,2022-04-26 21:00,50.2
478,San Francisco,2022-04-26 22:00,48.6
479,San Francisco,2022-04-26 23:00,47.1
480,San Francisco,2022-04-27 00:00,45.5
481,San Francisco,2022-04-27 01:00,44.9
482,San Francisco,2022-04-27 02:00,44.3
483,San Francisco,2022-04-27 03:00,43.7
484,San Francisco,2022-04-27 04:00,43.6
485,San Francisco,2022-04-27 05:00,43.6
486,San Francisco,2022-04-27 06:00,43.5
487,San Francisco,2022-04-27 07:00,46.1
488,San Francisco,2022-04-27 08:00,48.7
489,San Francisco,2022-04-27 09:00,51.3
490,San Francisco,2022-04-27 10:00,52.7
491,San Francisco,2022-04-27 11:00,54.1
492,San Francisco,2022-04-27 12:00,55.6
493,San Francisco,2022-04-27 13:00,57.1
494,San Francisco,2022-04-27 14:00,58.6
495,San Francisco,2022-04-27 15:00,60.1
496,San Francisco,2022-04-27 16:00,57.6
497,San Francisco,2022-04-27 17:00,55.2
498,San Francisco,2022-04-27 18:00,52.7
499,San Francisco,2022-04-27 19:00,50.4
500,San Francisco,2022-04-27 20:00,48.0
501,San Francisco,2022-04-27 21:00,45.7
502,San Francisco,2022-04-27 22:00,45.1
503,San Francisco,2022-04-27 23:00,44.5
